GeneID	Common name	chrom	Strand	TSS	TTS	
YBL100W-C	YBL101W-C	chrII	+	28325	28724	
YBL101C	ECM21	chrII	-	28609	25017	
YBL099W	ATP1	chrII	+	36736	38896	
YBL098W	BNA4	chrII	+	39112	40568	
YBL097W	BRN1	chrII	+	40776	44248	
CUT443		chrII	-	43104	42576	
YBL095W		chrII	+	43175	44267	
YBL093C	"ROX3, MED19, SSN7, NUT3"	chrII	-	45004	44092	
SUT437		chrII	-	45464	45288	
YBL092W	RPL32	chrII	+	45632	45992	
SUT005		chrII	+	46788	47132	
YBL091C-A	SCS22	chrII	-	47282	46387	
YBL091C	MAP2	chrII	-	48652	47412	
YBL090W	"MRP21, MRP50"	chrII	+	48792	49368	
YBL089W	AVT5	chrII	+	49528	51056	
Unit028		chrII	+	59519	59818	
YBL088C	TEL1	chrII	-	59741	50588	
YBL087C	RPL23A	chrII	-	60837	60693	
YBL086C		chrII	-	62700	61204	
YBL085W	"BOI1, BOB1, GIN7"	chrII	+	63649	66864	
YBL084C	"CDC27, SNB1, APC3"	chrII	-	69572	68228	
YBL082C	"ALG3, RHK1"	chrII	-	71172	69780	
YBL081W		chrII	+	71552	72360	
YBL080C	PET112	chrII	-	74740	73036	
YBL079W	"NUP170, NLE3"	chrII	+	75192	79832	
YBL078C	"ATG8, AUT7, CVT5, APG8"	chrII	-	80835	80052	
YBL076C	ILS1	chrII	-	84291	81067	
YBL075C	"SSA3, YG106"	chrII	-	86550	84321	
YBL074C	AAR2	chrII	-	87835	86379	
YBL072C	RPS8A	chrII	-	89499	89115	
YBL071C-B		chrII	-	89658	89280	
YBL071W-A	"KTI11, DPH3"	chrII	+	89876	90404	
YBL069W	AST1	chrII	+	90663	92119	
YBL068W	PRS4	chrII	+	92351	93515	
YBL067C	UBP13	chrII	-	96168	93600	
CUT006		chrII	+	96352	96568	
YBL066C	SEF1	chrII	-	100469	96456	
YBL064C	"PRX1, mTPx"	chrII	-	101253	100453	
YBL063W	"KIP1, CIN9"	chrII	+	101873	105241	
YBL061C	"SKT5, CSD4, CHS4, CAL2"	chrII	-	107509	105317	
YBL060W		chrII	+	107817	109793	
YBL059C-A		chrII	-	110641	109947	
YBL059W		chrII	+	110673	110881	
YBL058W	"SHP1, UBX1"	chrII	+	111401	112769	
YBL057C	PTH2	chrII	-	113436	112757	
YBL056W	PTC3	chrII	+	113632	115496	
YBL055C		chrII	-	116868	115484	
YBL054W		chrII	+	117480	119256	
YBL052C	SAS3	chrII	-	122139	120076	
Unit008		chrII	-	122585	122163	
YBL051C	"PIN4, MDT1"	chrII	-	124844	122364	
YBL050W	SEC17	chrII	+	125040	125152	
YBL049W	MOH1	chrII	+	126726	127422	
SUT438		chrII	-	127560	126208	
YBL047C	"EDE1, BUD15"	chrII	-	132220	127916	
YBL046W		chrII	+	132408	133528	
Unit009		chrII	-	133987	133835	
YBL045C	"COR1, QCR1"	chrII	-	135732	133852	
YBL043W	ECM13	chrII	+	136320	137552	
YBL044W		chrII	+	136320	137552	
Unit029		chrII	+	137861	138288	
YBL042C	FUI1	chrII	-	140324	138244	
YBL041W	"PRE7, PRS3"	chrII	+	141192	142088	
YBL040C	ERD2	chrII	-	142924	142844	
YBL039W-B	YBL039W-A	chrII	+	143291	143750	
YBL039C	URA7	chrII	-	145812	143884	
YBL038W	MRPL16	chrII	+	146112	146904	
CUT444		chrII	-	146968	146720	
YBL037W	APL3	chrII	+	147112	150360	
YBL036C		chrII	-	151322	150269	
YBL035C	POL12	chrII	-	153668	151220	
YBL034C	STU1	chrII	-	158716	153860	
YBL033C	RIB1	chrII	-	159724	158700	
YBL032W	"HEK2, KHD1"	chrII	+	160088	161376	
YBL031W	SHE1	chrII	+	161664	162472	
YBL030C	"PET9, OP1, ANC2, AAC2"	chrII	-	164140	162764	
SUT006		chrII	+	164468	165004	
YBL029C-A		chrII	-	164874	164310	
YBL029W		chrII	+	166088	167360	
SUT439		chrII	-	166952	166136	
YBL028C		chrII	-	167892	167348	
YBL027W	RPL19B	chrII	+	168321	169554	
SUT440		chrII	-	169928	169376	
SUT441		chrII	-	170456	170104	
YBL026W	"LSM2, SNP3, SMX5"	chrII	+	170536	170680	
YBL025W	RRN10	chrII	+	171416	172208	
YBL024W	"NCL1, TRM4"	chrII	+	172480	174664	
YBL023C	MCM2	chrII	-	177564	174948	
YBL022C	"PIM1, Lon, LON1"	chrII	-	181404	178268	
YBL021C	HAP3	chrII	-	182148	181492	
YBL020W	RFT1	chrII	+	182320	184152	
YBL019W	"APN2, ETH1"	chrII	+	184376	185248	
anti-YBL019W		chrII	-	184511	184186	
YBL018C	POP8	chrII	-	186532	186428	
YBL017C	"PEP1, VPT1, VPS10"	chrII	-	191860	186772	
CUT007		chrII	+	191988	192340	
YBL016W	"FUS3, DAC2"	chrII	+	192376	193560	
anti-YBL016W-2		chrII	-	193899	193505	
YBL015W	ACH1	chrII	+	194024	195776	
SUT007		chrII	+	196308	196732	
YBL014C	RRN6	chrII	-	201788	199020	
YBL013W	FMT1	chrII	+	201954	203439	
YBL011W	"SCT1, GAT2"	chrII	+	203425	205761	
YBL010C		chrII	-	206965	205941	
YBL009W		chrII	+	207153	209249	
YBL008W-A		chrII	+	209307	209826	
YBL008W	HIR1	chrII	+	209553	211889	
YBL007C	SLA1	chrII	-	216477	212621	
YBL006C	"LDB7, RSC14"	chrII	-	217157	216461	
YBL005W	"PDR3, TPE2, AMY2"	chrII	+	217401	220489	
YBL004W	UTP20	chrII	+	227513	229329	
YBL003C	"HTA2, H2A2"	chrII	-	235837	235269	
SUT442		chrII	-	236217	235897	
Unit031		chrII	+	236282	236440	
YBL002W	HTB2	chrII	+	236369	237090	
YBL001C	ECM15	chrII	-	237550	237094	
CUT008		chrII	+	237742	237926	
SUT008		chrII	+	238398	238894	
YBR001C	NTH2	chrII	-	241350	239078	
YBR002C	RER2	chrII	-	242606	241574	
YBR003W	COQ1	chrII	+	242778	244362	
YBR004C	"GPI18, FMP44"	chrII	-	245702	244278	
YBR005W	RCR1	chrII	+	245818	246602	
YBR006W	"UGA2, UGA5"	chrII	+	246882	248530	
SUT443		chrII	-	248538	246810	
YBR007C	DSF2	chrII	-	251111	248743	
Unit032		chrII	+	251747	252258	
YBR008C	FLR1	chrII	-	254560	253903	
SUT011		chrII	+	254640	254874	
YBR009C	HHF1	chrII	-	255730	255194	
SUT444		chrII	-	256278	255774	
YBR010W	"HHT1, SIN2, BUR5"	chrII	+	256294	256838	
YBR011C	"IPP1, PPA1"	chrII	-	258034	257074	
YBR013C		chrII	-	266256	265522	
YBR014C		chrII	-	267407	266608	
YBR015C	"MNN2, LDB8, CRV4, TTP1"	chrII	-	269688	267680	
YBR016W		chrII	+	270196	270740	
YBR017C	KAP104	chrII	-	273768	270976	
YBR018C	GAL7	chrII	-	275629	274249	
SUT013		chrII	+	276760	278816	
YBR019C	GAL10	chrII	-	278454	276075	
YBR020W	GAL1	chrII	+	278844	280500	
YBR021W	FUR4	chrII	+	281308	283308	
YBR022W	POA1	chrII	+	283660	284380	
YBR023C	"CHS3, KTI2, DIT101, CSD2, CAL1"	chrII	-	288064	284464	
Unit033		chrII	+	288254	288840	
YBR024W	SCO2	chrII	+	289332	290388	
YBR025C		chrII	-	291984	290464	
YBR026C	"ETR1, MRF1', MRF1"	chrII	-	294080	292760	
YBR028C		chrII	-	296160	294392	
CUT010		chrII	+	296288	296576	
YBR029C	"CDS1, CDG1"	chrII	-	297880	296296	
YBR030W		chrII	+	298148	299924	
CUT446		chrII	-	299884	299292	
YBR031W	RPL4A	chrII	+	300064	301432	
YBR033W		chrII	+	301842	304881	
SUT445		chrII	-	304756	301628	
YBR034C	"HMT1, RMT1, ODP1, HCP1"	chrII	-	306015	304856	
YBR035C	PDX3	chrII	-	306984	306168	
YBR036C	"CSG2, CLS2"	chrII	-	310368	309072	
CUT013		chrII	+	310633	310953	
YBR037C	"SCO1, PET161"	chrII	-	311497	310633	
YBR038W	CHS2	chrII	+	311829	314589	
YBR039W	ATP3	chrII	+	315476	316652	
YBR040W	FIG1	chrII	+	316924	316979	
YBR041W	FAT1	chrII	+	318188	320324	
YBR042C		chrII	-	321672	320576	
YBR043C	"QDR3, AQR2"	chrII	-	324096	321808	
CUT014		chrII	+	324513	325361	
YBR044C	TCM62	chrII	-	326153	324280	
CUT015		chrII	+	326297	326777	
YBR045C	GIP1	chrII	-	330194	328192	
YBR046C	ZTA1	chrII	-	331554	330354	
YBR047W		chrII	+	331774	332126	
YBR048W	RPS11B	chrII	+	332774	332878	
YBR049C	"REB1, GRF2"	chrII	-	336938	334194	
YBR050C	REG2	chrII	-	338301	337005	
YBR052C		chrII	-	339426	338658	
CUT016		chrII	+	339602	339946	
YBR053C		chrII	-	340778	339674	
CUT449		chrII	-	341486	340894	
YBR054W	YRO2	chrII	+	342782	344398	
YBR055C	"PRP6, TSM7269, RNA6"	chrII	-	347322	344562	
YBR056W		chrII	+	347798	349422	
Unit035		chrII	+	351645	351905	
YBR057C	"MUM2, SPOT8"	chrII	-	353402	352130	
YBR058C	"UBP14, GID6"	chrII	-	356066	353623	
YBR058C-A	TSC3	chrII	-	356668	356146	
YBR059C	AKL1	chrII	-	360322	356802	
CUT018		chrII	+	360618	360970	
YBR060C	"ORC2, SIR5, RRR1"	chrII	-	362602	360634	
SUT014		chrII	+	362866	364594	
YBR061C	TRM7	chrII	-	365746	364738	
CUT019		chrII	+	365898	366657	
YBR062C		chrII	-	366505	365970	
YBR063C		chrII	-	368286	366792	
YBR065C	"ECM2, SLT11"	chrII	-	369737	366913	
SUT015		chrII	+	370545	370873	
YBR066C	NRG2	chrII	-	370769	369946	
SUT016		chrII	+	371273	373730	
YBR067C	TIP1	chrII	-	372810	372018	
YBR068C	BAP2	chrII	-	375754	373650	
Unit015		chrII	-	376004	375728	
CUT021		chrII	+	376378	376834	
YBR069C	"TAT1, VAP1"	chrII	-	378554	377194	
CUT022		chrII	+	379154	379450	
YBR070C	ALG14	chrII	-	379986	379226	
YBR071W		chrII	+	380326	381286	
YBR072W	HSP26	chrII	+	381902	382702	
YBR072C-A		chrII	-	383123	382680	
YBR073W	"RDH54, TID1"	chrII	+	383128	386000	
YBR074W	YBR075W	chrII	+	386264	389320	
Unit016		chrII	-	389916	389543	
YBR076W	ECM8	chrII	+	390273	391572	
YBR077C	"SLM4, NIR1, EGO3"	chrII	-	392363	391597	
YBR078W	ECM33	chrII	+	392928	393184	
YBR079C	"RPG1, TIF32"	chrII	-	398309	395357	
YBR080C	"SEC18, ANU4"	chrII	-	400925	398605	
Unit037		chrII	+	401038	401243	
YBR081C	"SPT7, GIT2"	chrII	-	405397	401253	
YBR082C	UBC4	chrII	-	407285	407125	
CUT453		chrII	-	408489	407905	
YBR083W	"TEC1, ROC1"	chrII	+	409105	410633	
YBR084W	MIS1	chrII	+	410993	413745	
YBR084C-A	RPL19A	chrII	-	415381	414741	
YBR085W	"AAC3, ANC3"	chrII	+	415889	417073	
Unit017		chrII	-	418069	417005	
YBR085C-A		chrII	-	419266	418729	
YBR086C	IST2	chrII	-	423349	420165	
Unit040		chrII	+	423353	423632	
YBR087W	RFC5	chrII	+	423737	424721	
YBR088C	"POL30, PCNA"	chrII	-	425821	425381	
YBR089C-A	"NHP6B, YBR090C-A"	chrII	-	426591	426012	
YBR090C		chrII	-	426917	426517	
YBR091C	"MRS5, TIM12"	chrII	-	427525	427109	
YBR092C	PHO3	chrII	-	429149	427645	
CUT025		chrII	+	429669	431781	
YBR093C	PHO5	chrII	-	430997	429501	
YBR094W		chrII	+	431977	434337	
YBR095C	RXT2	chrII	-	435749	434365	
YBR096W		chrII	+	435937	436785	
YBR097W	"VPS15, VPL19, VAC4, GRD8"	chrII	+	436769	443617	
YBR098W	"MMS4, YBR100W, SLX2"	chrII	+	441413	443768	
YBR101C	FES1	chrII	-	444757	443805	
YBR102C	"EXO84, USA3"	chrII	-	447405	444741	
YBR103W	"SIF2, EMB1"	chrII	+	447545	449145	
YBR104W	YMC2	chrII	+	449577	450705	
YBR105C	"VID24, GID4"	chrII	-	452005	450749	
YBR106W	PHO88	chrII	+	452585	453073	
SUT017		chrII	+	453557	454701	
YBR107C	"IML3, MCM19"	chrII	-	454581	453589	
YBR108W		chrII	+	454720	457843	
YBR109C	CMD1	chrII	-	458414	457710	
YBR110W	ALG1	chrII	+	458810	460218	
YBR111C	"YSA1, RMA2"	chrII	-	461878	461110	
YBR111W-A	SUS1	chrII	+	462037	462757	
YBR112C	"CYC8, SSN6, CRT8"	chrII	-	465974	464270	
YBR114W	"RAD16, PSO5"	chrII	+	467194	469674	
YBR115C	LYS2	chrII	-	474054	469750	
SUT018		chrII	+	474286	476894	
YBR117C	TKL2	chrII	-	476539	474214	
YBR118W	"TEF2, eEF1A, EF-1 alpha"	chrII	+	477569	479225	
YBR119W	"MUD1, U1-A, U1A"	chrII	+	479154	479450	
YBR120C	CBP6	chrII	-	481022	480438	
YBR121C	GRS1	chrII	-	483534	481294	
CUT026		chrII	+	483734	484030	
YBR122C	"MRPL36, YmL36"	chrII	-	484550	483854	
YBR123C	TFC1	chrII	-	486765	484854	
YBR125C	"PTC4, GCT1"	chrII	-	488654	487054	
YBR126C	"TPS1, TSS1, GLC6, GGS1, FDP1, CIF1, BYP1"	chrII	-	490494	488774	
YBR127C	"VMA2, ATPSV, VAT2"	chrII	-	492894	491110	
CUT027		chrII	+	493094	493686	
YBR128C	"ATG14, APG14, CVT12"	chrII	-	494358	492878	
YBR129C	OPY1	chrII	-	495382	494342	
YBR130C	SHE3	chrII	-	496934	495518	
YBR131W	"CCZ1, CVT16"	chrII	+	497138	499361	
YBR132C	AGP2	chrII	-	501798	499335	
YBR133C	HSL7	chrII	-	504430	501782	
YBR135W	CKS1	chrII	+	504754	505458	
YBR136W	"MEC1, SAD3, ESR1"	chrII	+	505442	512986	
YBR137W		chrII	+	512970	513722	
YBR138C	HDR1	chrII	-	515398	513615	
YBR139W		chrII	+	515642	517362	
YBR140C	"IRA1, PPD1, GLC1"	chrII	-	526730	517172	
YBR141C		chrII	-	528062	518150	
YBR142W	MAK5	chrII	+	528242	530682	
YBR143C	"SUP45, eRF1, SUP47, SUP1, SAL4"	chrII	-	532254	530798	
SUT019		chrII	+	532518	533198	
YBR145W	ADH5	chrII	+	533706	534202	
YBR146W	MRPS9	chrII	+	535178	536226	
CUT454		chrII	-	536258	535770	
YBR147W		chrII	+	536473	537643	
YBR148W	YSW1	chrII	+	537774	539883	
YBR149W	ARA1	chrII	+	539883	541114	
SUT447		chrII	-	541026	539674	
YBR150C	TBS1	chrII	-	544526	541510	
YBR151W	APD1	chrII	+	544882	546066	
YBR152W	SPP381	chrII	+	546314	547402	
YBR153W	RIB7	chrII	+	547386	548362	
YBR154C	"RPB5, ABC27"	chrII	-	549134	548510	
YBR155W	CNS1	chrII	+	549698	551050	
YBR156C	SLI15	chrII	-	553222	551046	
YBR157C	ICS2	chrII	-	554390	553574	
Unit042		chrII	+	555090	556305	
YBR158W	"AMN1, CST13, ICS4"	chrII	+	556274	558338	
Unit018		chrII	-	558515	558262	
YBR159W		chrII	+	558618	559810	
YBR160W	"CDC28, SRM5, HSL5, CDK1"	chrII	+	559914	560962	
YBR161W	CSH1	chrII	+	561458	562833	
YBR162C	TOS1	chrII	-	564829	562925	
YBR162W-A	YSY6	chrII	+	565185	565529	
YBR163W	DEM1	chrII	+	565609	567177	
YBR164C	"ARL1, DLP2"	chrII	-	568557	567765	
YBR165W	UBS1	chrII	+	568761	569753	
YBR166C	TYR1	chrII	-	571253	569813	
YBR168W	PEX32	chrII	+	572073	573777	
YBR167C	"POP7, RPP2"	chrII	-	572229	571477	
YBR169C	SSE2	chrII	-	576021	573773	
CUT029		chrII	+	576349	576773	
YBR170C	"NPL4, HRD4"	chrII	-	578141	576285	
YBR171W	"SEC66, SEC71, HSS1"	chrII	+	578321	578993	
YBR172C	SMY2	chrII	-	581493	579013	
YBR173C	UMP1	chrII	-	582221	581589	
YBR175W	"SWD3, SAF35, CPS30"	chrII	+	582385	583465	
YBR176W	ECM31	chrII	+	583633	584753	
YBR177C	EHT1	chrII	-	586213	584765	
YBR179C	FZO1	chrII	-	589197	586557	
YBR180W	DTR1	chrII	+	589639	591637	
SUT448		chrII	-	591393	590217	
YBR181C	"RPS6B, RPS102, RPS101, LPG18"	chrII	-	592829	592765	
YBR182C	SMP1	chrII	-	595013	593277	
YBR182C-A		chrII	-	595657	595183	
Unit043		chrII	+	595879	596111	
YBR183W	YPC1	chrII	+	595897	597065	
YBR184W		chrII	+	597261	599112	
YBR185C	MBA1	chrII	-	600005	599037	
YBR186W	PCH2	chrII	+	600451	602538	
anti012		chrII	-	602221	601484	
SUT450		chrII	-	602377	602337	
YBR187W		chrII	+	602505	603177	
YBR188C	NTC20	chrII	-	604189	603709	
YBR189W	"RPS9B, SUP46, RPS13A"	chrII	+	604457	604936	
YBR191W	"RPL21A, URP1"	chrII	+	606201	606280	
YBR192W	RIM2	chrII	+	607465	609017	
YBR193C	MED8	chrII	-	609813	608813	
YBR194W		chrII	+	609961	610441	
YBR195C	"MSI1, CAC3"	chrII	-	611925	610869	
anti-YBR196C-4		chrII	+	612110	612244	
YBR196C	"PGI1, CDC30"	chrII	-	613973	612061	
YBR196C-A		chrII	-	614275	613846	
anti013		chrII	+	614448	614873	
YBR196C-B		chrII	-	614732	614348	
anti014		chrII	+	615400	616041	
YBR197C		chrII	-	615885	614765	
YBR198C	"TAF5, TafII90, TAF90"	chrII	-	618621	616221	
YBR199W	KTR4	chrII	+	618809	620433	
Unit019		chrII	-	620593	620348	
YBR200W	"BEM1, SRO1"	chrII	+	620809	622697	
YBR200W-A		chrII	+	622881	623325	
anti-YBR200W-A		chrII	-	623241	622666	
YBR201W	DER1	chrII	+	623425	624312	
YBR201C-A		chrII	-	624798	624315	
YBR202W	"CDC47, MCM7"	chrII	+	625689	627569	
YBR203W	COS111	chrII	+	629066	632120	
YBR204C		chrII	-	633429	631997	
YBR205W	KTR3	chrII	+	633577	635025	
YBR207W	FTH1	chrII	+	635057	636569	
YBR208C	"DUR1,2, DUR80"	chrII	-	642333	639901	
anti015		chrII	-	642677	642516	
YBR210W	ERV15	chrII	+	645337	646057	
YBR211C	"AME1, ARP100"	chrII	-	647237	646269	
YBR212W	"NGR1, RBP1"	chrII	+	647441	650033	
YBR213W	MET8	chrII	+	650017	651321	
YBR214W	SDS24	chrII	+	651305	652993	
Unit046		chrII	+	653142	653192	
YBR215W	HPC2	chrII	+	653457	655425	
YBR216C	YBP1	chrII	-	657661	655373	
YBR217W	"ATG12, APG12"	chrII	+	657769	658745	
YBR218C	PYC2	chrII	-	662405	658717	
CUT033		chrII	+	662893	663181	
YBR219C		chrII	-	663405	662321	
YBR220C		chrII	-	664765	662797	
YBR221W-A		chrII	+	666436	666820	
YBR221C	PDB1	chrII	-	666485	664909	
YBR222C	"PCS60, FAT2"	chrII	-	668397	666605	
YBR223C	TDP1	chrII	-	670309	668381	
YBR225W		chrII	+	670497	673457	
YBR227C	MCX1	chrII	-	675205	673549	
YBR228W	SLX1	chrII	+	675289	676185	
YBR229C	"ROT2, GLS2"	chrII	-	679245	676221	
YBR230C	OM14	chrII	-	679941	679485	
YBR230W-A		chrII	+	680260	680740	
CUT034		chrII	+	682213	682533	
YBR231C	"SWC5, AOR1"	chrII	-	683164	682221	
YBR233W	"PBP2, HEK1"	chrII	+	683305	684801	
YBR233W-A	DAD3	chrII	+	684875	685439	
YBR234C	ARC40	chrII	-	686653	685437	
YBR235W		chrII	+	686825	690337	
YBR236C	ABD1	chrII	-	691741	690269	
YBR237W	"PRP5, RNA5"	chrII	+	691913	693913	
YBR238C		chrII	-	697397	694725	
anti016		chrII	+	697872	698417	
YBR239C		chrII	-	700173	698293	
YBR240C	"THI2, PHO6"	chrII	-	701944	700312	
Unit020		chrII	-	702170	701863	
YBR241C		chrII	-	704149	702861	
YBR242W		chrII	+	704505	705264	
YBR243C	"ALG7, TUR1"	chrII	-	706845	705405	
YBR244W	"GPX2, AMI1"	chrII	+	707473	708121	
YBR245C	"ISW1, SGN2"	chrII	-	711413	708213	
YBR246W		chrII	+	711537	712689	
YBR247C	"ENP1, MEG1"	chrII	-	714469	713557	
CUT037		chrII	+	714685	715477	
YBR248C	HIS7	chrII	-	716557	714757	
YBR249C	ARO4	chrII	-	718133	716781	
Unit021		chrII	-	718801	718478	
YBR250W		chrII	+	718931	720782	
CUT458		chrII	-	721185	720649	
YBR251W	MRPS5	chrII	+	721266	722345	
YBR252W	DUT1	chrII	+	722577	723129	
YBR253W	"SRB6, MED22"	chrII	+	723209	723705	
YBR254C	TRS20	chrII	-	724341	723613	
YBR255W		chrII	+	724377	726641	
YBR255C-A		chrII	-	727176	726440	
anti-YBR256C		chrII	+	727294	727504	
YBR256C	RIB5	chrII	-	728149	727349	
Unit022		chrII	-	728653	728461	
YBR257W	POP4	chrII	+	728833	729697	
YBR258C	"SHG1, CPS15"	chrII	-	730189	729677	
YBR259W		chrII	+	730274	732433	
YBR260C	RGD1	chrII	-	734813	732837	
YBR261C		chrII	-	735573	734797	
YBR262C		chrII	-	736085	735661	
